Job Title,Job Link,Job ID,Company Name,Location,Job Posting,Salary,Job Description
Programmer,https://malaysia.indeed.com/company/Brighten-Business-Consulting-Sdn-Bhd/jobs/Programmer-451db89ca929f9a5?fccid=4cc61c38c8d896a5&vjs=3,job_451db89ca929f9a5,Brighten Business Consulting Sdn Bhd,Kuala Lumpur,"Posted
Just posted","RM 6,000 - RM 9,000 a month","Brighten Business Consulting Sdn Bhd is a digital marketing and manpower outsourcing service agency. Our head quarter from Hong Kong with branches & teammates in Malaysia, Taiwan, UK & Australia. Providing 10+ years of experience on marketing, business strategy & technology solutions, our aim is to perform high-quality professional service to support global clients develop the new markets in Malaysia & Asia Pacific.
Our client Travel Connect, providing information technology and internet marketing services to travel industry enterprises. They have been working tirelessly in the industry to help their colleagues bring their businesses into new realms in the age of internet and mobile app dominance.
Job Scope:
· Design, develop, and maintain software applications using Python and other relevant technologies.
· Troubleshoot and debug issues in software applications and provide timely resolutions.
· Work conscientiously and responsibly, proactive in team collaboration, and able to complete tasks independently and efficiently.
· Timely resolve problems in the production system
· Strong proactive learning ability, logical thinking ability, and ability to analyze and solve problems.
Requirements:
· Bachelor's degree or above in computer science, communication, electronics or related fields, at least 2 years of experience in Python development.
· Solid foundation in Python, familiar with Node.js, AST reverse engineering, de-obfuscation, and practical project experience.
· Familiar with the construction of massive proxy IP pools and complex captcha recognition.
· Familiar with at least one web framework such as Flask, Django, Tornado,
· Familiar with Redis, MongoDB, MySQL.
· Familiar with common data mining algorithms, such as machine learning, decision trees, naive Bayes, SVM, KNN, K-Means, linear regression, logistic regression, experimental design, clustering, and practical mining and analysis experience is preferred.
· Familiar with packet capture tools (Wireshark, Fiddler, etc.), network communication programming, web page crawling principles and techniques, familiar with HTTP, Socket transmission protocols; have a certain understanding of distributed and multi-threading technology.
· Able to read English materials proficiently, with strong learning ability, pressure resistance, and quick problem analysis and resolution ability.
Benefits:
· 5 working days
· Hospital insurance
· Medical claim allowance
· Parking allowance
· Friendly and good working environment
· Free snack & beverages
· Increment depends on work performance
· Festival gifts, birthday benefits etc
· Working place nearby MRT station
Office Location: Sunway Velocity
Job Type: Full-time
Salary: RM6,000.00 - RM9,000.00 per month
Benefits:
Additional leave
Health insurance
Maternity leave
Opportunities for promotion
Professional development
Schedule:
Monday to Friday
Supplemental pay types:
Attendance bonus
Performance bonus
Yearly bonus
Application Deadline: 10/31/2023"
Intern (Data Science),https://malaysia.indeed.com/company/Chumbaka-Sdn-Bhd/jobs/Data-Scientist-ef053c442f5f68f2?fccid=cfb4632fa42d0a74&vjs=3,job_ef053c442f5f68f2,Chumbaka,Kuala Lumpur,"Posted
Just posted",RM 750 a month,"We are looking for an individual who will be able to:
Commit for a minimum of two months up to six months (flexible start date)
Clean, aggregate, transfer, and analyze data into a format for analysis
Create new, experimental frameworks to collect and aggregate impact data
Search through our large datasets for usable information
Remotely support the strategic implementations and operations of our Young Innovators Challenge and Junior Innovate for students
Based on your interests and skills, you will take ownership of a chosen portfolio/ project to grow your technical and/or soft skills. Throughout the process, you will be constantly guided and coached by our Team. The examples of the portfolios are (but not limited to):
Technology Development - exploring state-of-the-art technology in learning, and building DIY projects (from cloud-based weather station to plastic recycling machine, from Cryptocurrency Smart Contract to CubeSat)
Brands and Awareness building brand presence through various online and offline media, curating stories and marketing collateral.
Programme Management- organising various activities to further propagate the Maker Movement to youths.
Who are we looking for?
Undergraduate from Computer Science, Information Technology, or Engineering courses.
Interested in learning, from Coding and 3D Printing, from Innovative Thinking to Programme Management and Coordination.
Google-ing & investigative skills
Proficient in Google Apps (such as Drive, Keep, Hangout, Calendar, etc.)
Excellent written and verbal communication skills (particularly in English)
Fast learner, self-driven with a “can-do” attitude
Fun and spontaneous
*
Working hours *
Working hours are typically around 37 to 45 hours per week. Hours are often flexible but some programs may require weekend work.
Job Types: Internship, Full-time
Contract length: 3 months
Salary: From RM750.00 per month
Benefits:
Company car
Health insurance
Schedule:
Day shift
Monday to Friday"
MY - Senior Project Manager - Toluna Malaysia,https://malaysia.indeed.com/company/Toluna-Hong-Kong-Limited/jobs/Senior-Project-Manager-e9df9a5c3c0a2e45?fccid=49cce69bb5bc600f&vjs=3,job_e9df9a5c3c0a2e45,Toluna Malaysia SDN BHD,Kuala Lumpur,"Posted
Just posted",,"Senior Project Manager
Kuala Lumpur, Malaysia
About us:
Toluna empowers leading brands and agencies to conduct research without limits by unifying the best of technology, the best of research science, the best of global panel, and made-to-measure service to scale your business.
Toluna is powered by 2500 employees worldwide, delivering critical insights in over 90 markets to over half of the Fortune 500. Together, we strive to push the field of market research toward a better tomorrow.
Introduction:
To complete our team in SouthEast Asia, we are looking for a Project Manager to support our sales team by managing multiple online assignments for marketing research and consulting clients by establishing a relationship with them and becoming an expert in understanding their research needs.
This role requires solid Research and Project Management experience to work within our SEA Client Services Team. The suitable candidate should be highly interested in research, project management, account management with a full hands-on approach.
Responsibilities:
· Support Corporate, end Clients and Internal project management teams
Project Management
· Provide guidance on research design, questionnaire structure and sample design to clients, client services/project management teams at Toluna.
· Work with project managers on questionnaire design as well as sample structure and sampling methodology
· Coordination of all tasks for specific projects/clients involving the survey set-up working closely with programming, sampling, data processing, translations, coding etc.
· Advising on in-field data verification checks and general quality checks
· Supporting team and clients in developing tab specs and project planning
· Advising/Supporting data deliverables QA checks
· In troubleshooting - Running frequencies or other data reports in SPSS
· Data analysis and reporting
· Work closely with Sales Teams and Client Services Director to develop solid and lasting client relationships
· Work with the team to deliver projects while maintaining Toluna’s high quality standards
· Work closely with all departments to achieve best solutions and service for Toluna’s clients
Account Management
· Work with Client Services Director to device account specific service plans and strategies
· Work with Client Service Director and clients on routine account reviews
· Develop a full understanding of Toluna’s state of the art technology suite in order to offer best solutions to our clients as well as identifying up-selling opportunities to the advantage of our clients.
Required skill set:
· Bachelor’s degree, or equivalent related experience
· 2-4 years market research experience spanning both across research and project management (On-line Research experience)
· Data processing experience
· Statistical analysis
· Experience across a variety of methodologies including ad-hoc and tracker projects
· Knowledge on machine learning, Python, R
· Client management experience
· Excellent written and verbal communication skills, client service oriented
· English and other Asian language skills is a plus
· Highly motivated, able to work within tight deadlines and under pressure
· Excellent trouble-shooting and problem solving abilities
· Excellent time management skills
· Excellent attention to detail
· Strong knowledge of Excel and SPSS, as well as other software and data formats
Our Values:
I_ntegrity and respect. We treat our colleagues, clients and partners how we want to be treated._
Success in unity. We deliver results by working as a team with common goals.
Smart decisions in action. We implement plans without delay and stay nimble to change on demand.
Make it simple. We simplify complexity, making the complex easy to understand.
Be bold. We welcome big and small ideas that challenge and inspire us to change.
Delight customers. We work tirelessly to exceed expectations, turning satisfaction into delight.
Reward great work. We believe performance is the reason for advancement. Do good work and good things come.
What we offer:
At Toluna you will find an exciting and multicultural place to work. We employ the best and the brightest in our industry and we are always looking for rising stars to join our team.
We are proud of our staff members and we offer competitive salaries, a wide range of benefits and the chance to progress your career within a truly global organization.
Toluna is an equal opportunities employer. We commit to keeping Toluna an inclusive, respectful, equal and diverse workplace. One small way we’re focused on moving ourselves – and the world- forward.
With +40 million influencers across the globe, we look like you do, like the world does: made up of every ethnicity, social background, sexual orientation, religion, gender, age or ability.
Join our global team. We welcome big thinking and reward great work.
Job Types: Permanent, Full-time
Benefits:
Health insurance
Schedule:
Monday to Friday"
AI/ML Engineer,https://malaysia.indeed.com/rc/clk?jk=74990fa32cff8c12&fccid=ab304ba2539eacc3&vjs=3,job_74990fa32cff8c12,Big Corridor,Kuala Lumpur,"Posted
Today",,"Massive Infinity
AI/ML Engineer (Full Time)
Join us as an AI/MS Engineer, where we’re pioneering innovative solutions to maximize space utilization. Our mission is to empower real estate owners with cutting-edge technology, transforming traditional building infrastructure into responsive, data-driven environments. We create digital twins of spaces, providing facility managers with user-friendly automation and operational efficiency. Be part of a team shaping the future of space optimization through AI and Machine Learning.
Job Responsibilities:
– Data Preprocessing: Collect, clean, and preprocess large datasets for training and evaluation of machine learning models.
– Model Development: Design and develop machine learning algorithms and models that are scalable, efficient, and accurate.
– Feature Engineering: Identify and engineer relevant features from raw data to enhance model performance.
– Model Training: Train and fine-tune machine learning models using appropriate techniques, frameworks, and libraries.
– Evaluation: Evaluate the performance of models using relevant metrics and implement improvements as needed.
– Deployment: Deploy machine learning models into production environments and maintain them to ensure high availability and reliability.
– Collaboration: Collaborate with data scientists and software engineers to integrate AI/ML components into our products and services.
– Research: Stay up-to-date with the latest advancements in AI/ML and contribute to research efforts to enhance our solutions.
– Documentation: Create comprehensive documentation for models, algorithms, and processes to ensure knowledge sharing and reproducibility.

Qualifications:
– Bachelor’s or Master’s degree in Computer Science, Data Science, or a related field.
– Proven experience in developing and deploying machine learning models in real-world applications.
– Proficiency in programming languages such as Python, Javascript.
– Strong knowledge of machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, scikit-learn).
– Solid understanding of data structures, algorithms, and statistical concepts.
– Experience with data preprocessing, feature engineering, and model evaluation.
– Experience with working on large language models (LLMs) and Generative AI models is a plus.
– Experience with working on cloud tools such as AWS SageMaker is a plus.
– Excellent problem-solving skills and the ability to work in a collaborative team environment.
– Strong communication skills to convey complex technical concepts to non-technical stakeholders."
"Senior Manager, Analytics & AI",https://malaysia.indeed.com/rc/clk?jk=ad5ea45eb3c73140&fccid=d35f6b081e467c24&vjs=3,job_ad5ea45eb3c73140,Salt Recruitment,Kuala Lumpur,"Posted
Today","RM 16,000 - RM 20,000 a month","I am partnered with a regional leader in the property / real estate development industry to hire a highly capable Senior Manager, Analytics & Artificial Intelligence as part of their digital transformation and innovation initiatives. You will develop and implement analytics and AI solutions, oversee advanced analytics and emerging technologies, establish policies and standards, and drive a data-driven culture within the organization. You will have extensive experience leading digital/data teams and delivering impactful digital/analytics initiatives.
Key Accountabilities:
Digital, AI & Automation Leadership: Lead the integration and execution of Digital, AI and Automation technologies to enhance efficiency and innovation.
Data Analytics Oversight: Develop and oversee a robust data analytics strategy, ensuring data quality, relevance, and actionable insights.
Strategic Decision Support: Utilize data-driven insights to aid senior management and business units in making informed, strategic decisions.
Business Intelligence Management: Supervise the Business Intelligence Manager, ensuring alignment with overall corporate goals and strategies.
Collaboration & Stakeholder Management: Collaborate with internal teams and external partners to facilitate the execution of data-driven projects.
Compliance & Security: Ensure adherence to data privacy regulations and the security of sensitive information.
Continuous Improvement & Innovation: Foster a culture of continuous improvement and innovative thinking within the digital and analytics teams.
Qualifications:
Minimum bachelor’s degree in Computer Science, AI, Data Analytics, or a related field.
Minimum 10 years of experience, with exposure in digital, AI, automation, data analytics, business intelligence, or a related field.
Led and mentored a team of data/ digital professionals, ensuring alignment with organizational goals, and fostering a collaborative environment.
Relevant experience in developing and managing business intelligence/digital solutions.
Experience in the Property Development or Real Estate sectors would be beneficial. Understanding the industry’s specific dynamics can help in tailoring data-driven strategies and solutions.
Critical Skills:
Behavioral
Strategic Thinking: Ability to align technical strategies with business goals and long-term vision.
Leadership & Team Management: Proven leadership skills with the ability to guide, mentor, and motivate team members.
Communication & Collaboration: Exceptional communication skills to engage with stakeholders at various levels.
Problem-Solving: Strong analytical and problem-solving skills to navigate complex challenges.
Adaptability & Innovation: Ability to adapt to rapid changes in technology and foster an environment of innovation.
Technical
AI & Machine Learning: Deep understanding of AI and machine learning algorithms and their real-world advantages.
Data Analytics Tools: Proficiency in analytics tools like Python, R, Tableau, and similar platforms.
Automation Technologies: Experience in implementing and managing automation technologies within a business context.
Salt is acting as an Employment Agency in relation to this vacancy.
Job Information
Job Reference: JO-2310-338415
Salary: RM16000 - RM20000 per month + RM1,800 car allowance
Salary per: month
Job Duration:
Job Start Date: 01/12/2023
Job Industries: Technology
Job Locations: Kuala Lumpur
Job Types: Permanent"
Risk Strategy Analyst (Business Acquistion) (Fintech Payment),https://malaysia.indeed.com/rc/clk?jk=539e25fba8c651f9&fccid=f8b265243da9f9d7&vjs=3,job_539e25fba8c651f9,Randstad,Kuala Lumpur,"Posted
Today","RM 8,000 - RM 13,000 a month","About Us:
We are dedicated to advancing mobile payment capabilities worldwide. In this endeavor, we confront dynamic, intricate, and ever-evolving risks, encompassing but not limited to fraud, CNP (card-not-present), ATO (account taken over), and abuse. We implement robust risk control solutions and leverage machine learning algorithms to proactively and agilely address these challenges.
Responsibilities:
Design and optimize security strategies for various risks, including but not limited to card theft, account theft, and fraud.
Ensure the maintenance of a positive user payment experience while upholding effective risk control measures to achieve risk-experience optimization.
Collaborate with cross-functional teams, including data, product, and technology, to enhance the capabilities of our global risk engine platform.
Provide payment card theft risk control solutions to our global strategic partners, covering regions such as the United States, Europe, Hong Kong, Singapore, India, Malaysia, Indonesia, and more.
Job Requirements:
Bachelor's degree in mathematics, statistics, finance, management, computer science, or related fields.
A minimum of two years of relevant work experience in data analysis, with experience in industries such as banks, payment institutions, credit cards, and internet companies preferred.
Proficiency in SQL for data processing is a mandatory requirement.
Proficiency in SAS, Python, or R is considered a valuable skill.
Strong analytical and problem-solving abilities.
A collaborative and inquisitive mindset.

If you are keen on this role, do apply via this link or reach out to Bryant at 0164140218 or bryant.han@randstad.com.my"
AI/ML Engineer,https://malaysia.indeed.com/company/Big-Corridor-Sdn-Bhd/jobs/Engineer-54d52bc01957af57?fccid=ab304ba2539eacc3&vjs=3,job_54d52bc01957af57,Big Corridor Sdn Bhd,Kuala Lumpur,"Posted
Posted 1 day ago","RM 4,000 - RM 8,000 a month","Company Overview:
Join us as an AI/MS Engineer, where we're pioneering innovative solutions to maximize space utilization. Our mission is to empower real estate owners with cutting-edge technology, transforming traditional building infrastructure into responsive, data-driven environments. We create digital twins of spaces, providing facility managers with user-friendly automation and operational efficiency. Be part of a team shaping the future of space optimization through AI and Machine Learning.
Job Responsibilities:
- Data Preprocessing: Collect, clean, and preprocess large datasets for training and evaluation of machine learning models.
- Model Development: Design and develop machine learning algorithms and models that are scalable, efficient, and accurate.
- Feature Engineering: Identify and engineer relevant features from raw data to enhance model performance.
- Model Training: Train and fine-tune machine learning models using appropriate techniques, frameworks, and libraries.
- Evaluation: Evaluate the performance of models using relevant metrics and implement improvements as needed.
- Deployment: Deploy machine learning models into production environments and maintain them to ensure high availability and reliability.
- Collaboration: Collaborate with data scientists and software engineers to integrate AI/ML components into our products and services.
- Research: Stay up-to-date with the latest advancements in AI/ML and contribute to research efforts to enhance our solutions.
- Documentation: Create comprehensive documentation for models, algorithms, and processes to ensure knowledge sharing and reproducibility.
Qualifications:
- Bachelor's or Master's degree in Computer Science, Data Science, or a related field.
- Proven experience in developing and deploying machine learning models in real-world applications.
- Proficiency in programming languages such as Python, Javascript.
- Strong knowledge of machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, scikit-learn).
- Solid understanding of data structures, algorithms, and statistical concepts.
- Experience with data preprocessing, feature engineering, and model evaluation.
- Experience with working on large language models (LLMs) and Generative AI models is a plus.
- Experience with working on cloud tools such as AWS SageMaker is a plus.
- Excellent problem-solving skills and the ability to work in a collaborative team environment.
- Strong communication skills to convey complex technical concepts to non-technical stakeholders.
Job Type: Full-time
Salary: RM4,000.00 - RM8,000.00 per month
Experience:
AI/ML: 1 year (Preferred)
Language:
English (Preferred)"
Data Scientist,https://malaysia.indeed.com/company/Skill-quotient/jobs/Data-Scientist-9392381c5d89596e?fccid=61efd79318e60e8b&vjs=3,job_9392381c5d89596e,Skill Quotient,Kuala Lumpur,"Posted
Posted 1 day ago",,"Role: Data Scientist
Working Mode: On Site
Job Type: CDM (Contract Direct Hire) – after completing 12 months will convert as Perm employee of Skill Quotient
Job Location: Kuala Lumpur
Experience: More than 3 years of experience as Data Scientist
Only Local Malaysian preferred
JOB DESCRIPTION
As a Data Scientist specializing in Computer Vision domain, you will be responsible for developing, implementing, integrating and maintaining advanced computer vision models. These models will play a crucial role in extracting valuable insights from visual data, automating tasks, and improving our products and services. Your primary focus will be on integrating these models into our Python-based data processing workflow and deploying them on AWS Cloud infrastructure.
Key Responsibilities:
· Integrate computer vision models into our Python-based data processing pipeline for real-time and batch processing.
· Develop and fine-tune object detection and classification models using state-of-the-art techniques and frameworks.
· Implement robust and scalable solutions on AWS Cloud, utilizing services like AWS Lambda, S3, EC2, and SageMaker.
· Optimize models for performance, accuracy, and efficiency, considering cloud resource constraints.
· Monitor and maintain deployed models, ensuring they operate seamlessly and efficiently.
· Collaborate with cross-functional teams to understand business requirements and translate them into technical specifications.
· Conduct model evaluations and iteratively improve them based on feedback and changing requirements.
· Stay up to date with the latest developments in computer vision, machine learning, Python, and AWS services.
Job Type: Full-time
Ability to commute/relocate:
Kuala Lumpur: Reliably commute or planning to relocate before starting work (Required)"
Senior Machine Learning Engineer,https://malaysia.indeed.com/company/FINEXUS-GROUP/jobs/Machine-Learning-Engineer-1d643036f25ed8c4?fccid=5bd5e37d2ce829a1&vjs=3,job_1d643036f25ed8c4,FINEXUS GROUP,Kuala Lumpur,"Posted
Posted 1 day ago","RM 4,500 - RM 10,000 a month","As a Senior Machine Learning Engineer at Finexus Sdn Bhd, you will be responsible for leading and contributing to the development of advanced machine learning models and algorithms to solve complex problems and drive innovation in our field. You will collaborate with cross-functional teams and play a critical role in designing, developing, and implementing machine learning solutions to support our company's objectives. This is an opportunity to make a significant impact and shape the future of the company’s AI-driven products and services.
You will report directly to the Technology Director, and will have an impact on projects such as:
● Applicants Identification and Verification & eKYC:
○ Implement automated solutions for customer identity verification, anti-money laundering (AML) checks, and know-your-customer (KYC) compliance.
○ Collaborate with regulatory and compliance teams to ensure that machine learning models meet industry standards and guidelines.
○ Ensure timely and accurate due diligence processes without compromising user experience.
● Document Text Extraction and Understanding:
○ Implement image processing and OCR solutions to extract text data from user submitted documents.
○ Implement natural language processing solutions to understand extracted text data.
● Fraud Detection:
○ Develop and improve ML models to detect and prevent fraudulent activities across Finexus’ fintech platform.
○ Analyze large datasets to identify patterns and anomalies indicative of fraudulent behavior.
○ Automate repetitive fraud detection activities conducted by the operations team
Key responsibilities include:
● Contribute to the design, development, and deployment of AI-driven products and solutions.
● Collaborate with cross-functional teams to identify business opportunities and translate them into AI projects.
● Research, evaluate, and adopt state-of-the-art AI technologies to improve existing processes and develop new capabilities. This includes the full ML development technical stack, from Data Science to MLOps.
● Provide technical leadership and mentorship to junior team members, fostering a culture of continuous learning and growth.
● Architect scalable and robust AI systems, ensuring performance, reliability, and security.
● Ensure effective communication of technical concepts and project updates to both technical and non-technical stakeholders.
● Contribute to the data security infrastructure that keeps AI development safe, compliant and respecting data privacy laws.
Minimum Qualifications:
● Bachelor's degree in Computer Science, preferably with a focus on Machine Learning.
● Proven experience (> 3 years) in AI, machine learning, or related technical roles.
● Strong programming skills in Python and Java
● In-depth understanding of AI algorithms, neural networks, and deep learning techniques.
● Hands-on experience with designing and implementing AI models and applications.
● Familiar with AI libraries such as Tensorflow, PyTorch, OpenCV, kornia, scikit-learn, ONNX etc.
● Familiar with relational DBs e.g PostgreSQL database.
● Familiar with version control systems such as Git and SVN.
● Familiar with Python frameworks such as FastAPI.
● Familiar with Linux operating systems
Preferred Qualifications:
These are a plus
● Master's in Computer Science.
● Knowledge of computer vision and natural language processing (NLP).
● Familiarity with Docker containerization.
● Familiarity with Apache Airflow and mlflow.
Join us at Finexus Sdn Bhd and be at the forefront of shaping the future of Fintech AI technology. As a Senior Machine Learning Engineer, you will have the opportunity to drive innovation and create impactful AI solutions that transform industries. Apply your expertise and passion to contribute to a new era of AI-driven excellence.
Job Type: Full-time
Salary: RM4,500.00 - RM10,000.00 per month
Benefits:
Health insurance
Parental leave
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus
Education:
Bachelor's (Preferred)
Experience:
machine learning models: 3 years (Preferred)
Language:
English (Preferred)"
Analytics Management Program,https://malaysia.indeed.com/rc/clk?jk=2db6a952fdea6be5&fccid=59850394de459c2b&vjs=3,job_2db6a952fdea6be5,Hong Leong Bank,Kuala Lumpur,"Posted
Posted 1 day ago",,"If you are looking to excel and make a difference, take a closer look at us…
The Analytics Management Program is for driven, disciplined and passionate individuals who have excelled in their studies and wish to embark on a lifelong career in data science and analytics.
As an AMP, you will be expected to have excellent coding and statistical analysis skills, and are eager to apply this to perform research, visualize and present data in reports, create prediction models and segmentations.
You will then leverage these applications to build data-driven solutions in areas of business issues, marketing campaigns, reporting and data management.
You will be expected to be able to articulate your ideas clearly, demonstrate strong logical thinking and have excellent communication skills in English.
Program Framework
The 24 month AMP is conducted within the Marketing, Communications & Analytics Division.
In the first year, you will be rotated within Analytics to work with various stakeholders from business and specialist divisions. This will provide you with a holistic view of the Bank business and data landscape.
Within the 2nd year, you will be creating your own analytic projects for actionable insights, manage stakeholder requests individually or as part of a team, and participating in Bank-wide projects You will also begin training in management and leadership skills during this period.
From the 3rd year onwards, you will be exposed to people management experience as a future leader in this field.
Functional (job responsibilities)
To create and execute as a sole contributor:
Data extraction scripts for MIS and reporting
Prepare reports and dashboards
Create and run relevant statistical and machine learning models
Create analysis and insights to drive business decision making
Execute marketing campaigns, followed by review and enhancement
To participate in project teams for the department / division in areas such as:
Data / Software related implementation projects
Data governance and data management implementation
Divisional activities and initiatives including Sustainability
About Hong Leong Bank
We are a leading financial institution in Malaysia backed by a century of entrepreneurial heritage. Providing comprehensive financial services guided by a Digital-at-the-Core ethos has earned us industry recognition and accolades for our innovative approach in making banking simpler and more effortless for our customers. Our digital and physical offerings span across a vast nationwide network in Malaysia, strengthened with an expanding regional presence in Singapore, Hong Kong, Vietnam, Cambodia, and China.
We seek to strike a balance between diversity, inclusion and merit to achieve our mission of infusing diversity in thinking and skillsets into our organisation. Candidates are assessed based on merit and potential, in line with our mission to attract and recruit the best talent available. Expanding on our “Digital at the Core” ethos, we are progressively digitising the employee journey and experience to provide a strong foundation for our people to drive life-long learning, achieve their career aspirations and grow talent from within our organisation.
Realise your full potential at Hong Leong Bank by applying now."
